title,directors,adaptors,starring,genre,country,release_date,runtime,rate
喜欢你,许宏宇,李媛/许伊萌/蓝白色(原著),金城武/周冬雨/孙艺洲/奚梦瑶/杨祐宁/张国柱/高晓松/林志玲/赵英俊/海佟,喜剧/爱情, 中国大陆,2017-04-27(中国大陆)/2017-04-08(北京电影节),106分钟,6.9
指甲刀人魔,关智耀,陆以心/端端/游凯媛,周冬雨/张孝全/纳豆/林辰唏/蔡洁/盛朗熙/郑伊健/谢依霖/许玮甯,喜剧/爱情, 中国大陆 / 香港,2017-04-14(中国大陆)/2017-04-11(北京电影节),100分钟,4.4
春娇救志明 春嬌救志明,彭浩翔,彭浩翔/尹志文/陆以心,余文乐/杨千嬅/蒋梦婕/曾国祥/邵音音/秦沛/王晓晨/李程彬,剧情/喜剧/爱情, 香港 / 中国大陆,2017-04-28(中国大陆)/2017-04-11(香港电影节)/2017-04-27(香港),121分钟,7.2
失眠,邱礼涛,李敏,黄秋生/诗雅/林家栋/麦子乐/吴俐璇,恐怖, 香港,2017-04-17(香港电影节)/2017-05-18(香港),102分钟,6.0
傲娇与偏见,李海蜀/黄彦威,李海蜀/黄彦威/媚媚猫(原著)/张秀洁/韩瑞/马月红,迪丽热巴/张云龙/高伟光/金晨/马薇薇/范湉湉/披拉·尼迪裴善官/周海媚/樊野/李彧,喜剧/爱情, 中国大陆,2017-04-20(中国大陆),108分钟,5.0
血狼犬,刘建华,刘夏,黄宏/刘向京/赵婷婷/孙涛/王海燕/肥龙/朱琳/秦艺伟/党晨,剧情/动作/冒险, 中国大陆,2017-04-21(中国大陆),95分钟,5.8
神秘家族,朴裕焕,朴裕焕,林依晨/姜武/陈晓/惠英红/蓝正龙/安琥/张岫云/楼学贤/郭耀仁/王道南/马国华/陈万号/张哲豪/林柔君/刘芷凌/杜知晨,剧情/悬疑/犯罪, 中国大陆 / 台湾 / 韩国,2017-04-21(中国大陆),93分钟,5.0
记忆大师,陈正道,任鹏/陈正道,黄渤/段奕宏/徐静蕾/杨子姗/梁杰理/许玮甯/王真儿/焦刚/张念骅/杜函梦/栾元晖/曹英睿,剧情/悬疑/惊悚/犯罪, 中国大陆,2017-04-28(中国大陆)/2017-04-23(北京电影节),119分钟,7.2
拆弹专家,邱礼涛,邱礼涛/李敏,刘德华/姜武/宋佳/吴卓羲/姜皓文/王紫逸/黄日华/石修/廖启智/张竣杰/蔡瀚亿/张继聪/李国麟/骆应钧/尹扬明/卢惠光/何华超,动作/悬疑/犯罪, 中国大陆 / 香港,2017-04-28(中国大陆),120分钟,6.4
同囚,黄国权,黄志邦/黄国权,游学修/关楚耀/赵永洪/赵咏瑶/徐伟栋/乔宝宝/汉洋/郭奕芯/李国麟/谭嘉荃/麦以马/岑珈其,剧情/犯罪, 香港,2017-05-04(香港),100分钟,5.7
麻烦家族,黄磊,山田洋次/黄磊,黄磊/海清/王迅/李立群/孙莉/魏大勋/张伟欣/任容萱/何炅/岳云鹏/孟非/闫妮/英达,剧情/喜剧/家庭, 中国大陆,2017-05-11(中国大陆),103分钟,4.6
毒。诫 毒。誡,刘国昌,陈文强/林惠菊,刘青云/林家栋/古天乐/张晋/江一燕/谭耀文/吴孟达/陈观泰/卢海鹏/楼南光/欧锦棠/林国斌/尹扬明/苗可秀/庄思敏/张建声,剧情/动作/犯罪, 中国大陆 / 香港,2017-05-12(中国大陆),100分钟,4.8
小情书,乔梁,宋丽颖,赵顺然/朱颜曼滋/姜瑞佳/高子沣/杨青/赵健雷/任帅/刘丹/姜宏波/韩昊轩/马祥睿/邓震/伍宇辰柠/赵珍妮/张鑫凯,剧情/爱情, 中国大陆,2017-05-19(中国大陆),100分钟,6.3
不期而遇,陈卓,右耳/陈卓,张雨绮/张亮/王少雍/冷中易,喜剧/爱情, 中国大陆 / 美国,2017-05-19(中国大陆),94分钟,3.9
夏天19岁的肖像,张荣吉,李佳颖/陈立萍/苏照彬/岛田庄司,黄子韬/杨采钰/杜天皓/李梦/张国柱/柯淑勤/朱芷莹/冯淬帆,爱情/悬疑, 中国大陆,2017-05-27(中国大陆),90分钟,4.9
“吃吃”的爱,蔡康永,蔡康永,徐熙娣/林志玲/金世佳/李子峰/陈汉典/范湉湉/傅雷/沈玉琳/梁赫群/赵正平/高山峰/马国贤/利晴天/曾恺玹/陈为民/小钟/谢依霖/仇佩佩/小甜甜/黄腾浩/郭文颐/张立东/杨升达/韩宜邦,喜剧/爱情/奇幻, 中国大陆 / 香港 / 台湾,2017-05-27(中国大陆/台湾),90分钟,5.6
美好的意外,何蔚庭,哈智超/周佳琳,桂纶镁/王景春/欧阳娜娜/王元也/陈坤,喜剧/奇幻, 中国大陆,2017-06-02(中国大陆),105分钟,5.5
忠爱无言,谈宜之,谈宜之,高强/于月仙/李玉峰/二货/储毅/王玉宁,剧情, 中国大陆,2017-06-09(中国大陆),97分钟,7.2
战争机器 War Machine,大卫·米奇欧德,大卫·米奇欧德/迈克尔·黑斯廷斯,布拉德·皮特/安东尼·海斯/约翰·马加罗/安东尼·迈克尔·豪尔/艾莫里·科恩/托弗·戈瑞斯/丹尼尔·贝茨/艾蒙·汉道奇/RJ·赛勒/阿兰·卢克/尼古拉斯·琼斯/威尔·保尔特/勒凯斯·斯坦菲尔德/本·金斯利/梅格·提利/蒂尔达·斯文顿,剧情/喜剧/战争, 美国,2017-05-26(美国),121分钟,6.0
神奇女侠 Wonder Woman,派蒂·杰金斯,艾伦·海因伯格/扎克·施奈德/贾森·福克斯/威廉·马斯顿,盖尔·加朵/克里斯·派恩/康妮·尼尔森/罗宾·怀特/丹尼·赫斯顿/大卫·休里斯/萨伊德·塔格马奥/艾文·布莱纳/尤金·布雷弗·洛克/露茜·戴维斯/埃伦娜·安纳亚/莉莉·阿斯佩尔/艾米丽·凯里/丽莎·洛文·孔斯利/安·奥戈博莫/杜晨·科洛斯,动作/奇幻/冒险, 美国,2017-06-02(中国大陆/美国)/2017-05-30(香港/台湾),141分钟,7.1
